Small Unit Installation Postcode,Previous Years (2001-2021) - Installation Quantity,Previous Years (2001-2021) - SGU Rated Output In kW,Jan 2022 - Installations Quantity,Jan 2022 - SGU Rated Output In kW,Feb 2022 - Installations Quantity,Feb 2022 - SGU Rated Output In kW,Mar 2022 - Installations Quantity,Mar 2022 - SGU Rated Output In kW,Apr 2022 - Installations Quantity,Apr 2022 - SGU Rated Output In kW,May 2022 - Installations Quantity,May 2022 - SGU Rated Output In kW,Jun 2022 - Installations Quantity,Jun 2022 - SGU Rated Output In kW,Jul 2022 - Installations Quantity,Jul 2022 - SGU Rated Output In kW,Aug 2022 - Installations Quantity,Aug 2022 - SGU Rated Output In kW,Sep 2022 - Installations Quantity,Sep 2022 - SGU Rated Output In kW,Oct 2022 - Installations Quantity,Oct 2022 - SGU Rated Output In kW,Nov 2022 - Installations Quantity,Nov 2022 - SGU Rated Output In kW,Dec 2022 - Installations Quantity,Dec 2022 - SGU Rated Output In kW,Jan 2023 - Installations Quantity,Jan 2023 - SGU Rated Output In kW,Feb 2023 - Installations Quantity,Feb 2023 - SGU Rated Output In kW,Installations Quantity Total,SGU Rated Output In kW Total
2769,2513,15366.988,25,201.795,31,266.735,15,123.795,23,205.99,26,213.635,28,262.005,28,243.685,28,267.385,27,226.255,21,173.2,21,185.005,31,293.36,13,124.085,10,96.3,2840,18250.218
2770,4499,22297.976,26,174.51,36,328.95,46,368.37,36,261.3,45,322.125,46,333.215,34,252.52,62,509.89,34,335,49,389.155,55,425.23,51,410.44,17,121.155,28,200.3,5064,26730.136
2773,759,3629.734,5,40.77,2,24.57,5,43.315,2,36.27,14,130.59,7,58.775,3,27.36,18,193.95,8,67.935,10,93.42,14,135.365,7,65.14,3,38.96,5,47.87,862,4634.024
2774,1546,7295.895,14,110.22,11,92.42,10,61.11,5,27.95,10,88.37,15,115.66,18,157.47,16,156.78,17,157.805,12,102.605,20,174.055,19,153.83,9,80.685,17,136.735,1739,8911.59
2775,226,1216.695,0,0,1,6.66,3,24.21,3,24.39,2,16.23,3,21.41,4,37.64,4,65.9,0,0,3,26.14,2,30.05,3,122.06,1,6.64,2,39.59,257,1637.615
2776,567,2503.92,6,41.63,1,8.88,4,34.45,3,29.84,5,41.655,5,37.31,7,72.44,9,76.62,8,65.84,5,39.675,10,123.59,5,42.08,6,45.275,2,12.52,643,3175.725
2777,2246,10819.766,12,106.725,13,109.55,13,105.07,7,65.74,13,108.445,23,196,28,246.295,26,226.525,24,212.025,17,152.33,25,226.475,19,195.9,16,122.04,23,188.855,2505,13081.741
2778,380,1478.188,5,39.48,2,20.28,2,22.26,4,32.79,3,26.52,5,48.49,4,32.61,6,57.11,5,46.485,5,38.635,6,44.175,5,60.8,2,9.545,2,23.805,436,1981.173
2779,606,2581.343,4,30.04,3,18.78,3,22.86,5,37.34,6,43.62,6,41.72,8,51.01,7,79.76,5,39.58,12,106.375,7,56.02,4,28.115,2,13.28,7,52.215,685,3202.058
2780,1528,7514.04,6,45.03,10,96.64,13,85.11,13,87.8,16,121.14,17,133.7,12,79.765,21,157.9,15,130.395,16,128.635,19,165.03,14,109.545,12,69.835,15,111.02,1727,9035.585
